City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Coquimbo,CL,2022-04-13 18:07:50,-29.9533,-71.3436,63.7,70,1,4.05
59,Nikolskoye,RU,2022-04-13 18:07:51,59.7035,30.7861,38.8,92,20,3.74
60,Kavaratti,IN,2022-04-13 18:06:38,10.5669,72.642,84.6,68,100,3.13
61,Asfi,MA,2022-04-13 18:07:51,32.2994,-9.2372,63.39,68,20,25.23
62,Blairmore,CA,2022-04-13 18:07:51,49.6,-114.4353,15.93,75,100,6.55
63,Tubuala,PA,2022-04-13 18:07:52,9.5167,-79.0333,81.46,81,82,9.28
64,Adrar,MR,2022-04-13 18:07:52,20.5022,-10.0711,90.75,9,3,10.13
65,Floro,NO,2022-04-13 18:07:52,61.5996,5.0328,46.36,66,75,8.05
66,Sedhiou,SN,2022-04-13 18:07:53,12.7081,-15.5569,102.15,13,43,9.19
67,Vila Franca Do Campo,PT,2022-04-13 18:07:53,37.7167,-25.4333,63.01,90,66,21.45
68,Waipawa,NZ,2022-04-13 18:07:53,-41.4122,175.5153,49.01,72,100,10.42
69,Kalmunai,LK,2022-04-13 18:07:54,7.4167,81.8167,79.59,83,64,12.01
70,Cayenne,GF,2022-04-13 18:06:30,4.9333,-52.3333,84.24,1,75,16.11
71,New Norfolk,AU,2022-04-13 18:07:54,-42.7826,147.0587,51.3,74,21,3.22
72,Luderitz,NA,2022-04-13 18:07:55,-26.6481,15.1594,63.52,80,30,10.85
73,Zhigansk,RU,2022-04-13 18:07:55,66.7697,123.3711,16.29,94,100,18.5
74,Khatanga,RU,2022-04-13 18:06:34,71.9667,102.5,13.01,95,100,8.81
75,Anadyr,RU,2022-04-13 18:07:56,64.75,177.4833,17.29,92,100,14.63
76,Hamilton,US,2022-04-13 18:07:56,39.1834,-84.5333,71.04,68,75,10.36
77,Vallenar,CL,2022-04-13 18:07:56,-28.5708,-70.7581,80.02,26,0,9.06
78,Beausejour,CA,2022-04-13 18:07:57,50.0622,-96.5167,31.86,100,100,20.45
79,Dzerzhinsk,RU,2022-04-13 18:07:57,56.2389,43.4631,55.22,62,0,8.95
80,Norman Wells,CA,2022-04-13 18:07:57,65.282,-126.8329,18.95,70,51,3.76
81,Kemijarvi,FI,2022-04-13 18:07:58,66.7131,27.4306,33.48,86,100,4.59
82,Leningradskiy,RU,2022-04-13 18:07:20,69.3833,178.4167,-6.45,97,87,11.14
83,Flin Flon,CA,2022-04-13 18:07:58,54.7682,-101.865,25.56,77,100,13.38
84,Albany,US,2022-04-13 18:05:41,42.6001,-73.9662,73.92,37,75,8.84
85,Tallahassee,US,2022-04-13 18:05:09,30.4383,-84.2807,82.85,55,75,13.8
86,Cherskiy,RU,2022-04-13 18:07:59,68.75,161.3,-2.63,95,65,6.38
87,Georgetown,MY,2022-04-13 18:06:38,5.4112,100.3354,78.73,89,20,0.0
88,Hilo,US,2022-04-13 18:07:59,19.7297,-155.09,75.27,85,100,1.99
89,Westport,US,2022-04-13 18:08:00,41.1415,-73.3579,74.62,50,80,4.0
90,Sao Filipe,CV,2022-04-13 18:08:00,14.8961,-24.4956,71.04,76,30,14.45
91,Marienburg,PL,2022-04-13 18:08:00,54.0359,19.0266,53.89,59,89,8.41
92,Svetlyy,RU,2022-04-13 18:09:01,54.675,20.1347,44.65,64,98,7.16
93,Upernavik,GL,2022-04-13 18:09:01,72.7868,-56.1549,4.53,86,100,10.09
94,Saldanha,ZA,2022-04-13 18:09:01,-33.0117,17.9442,63.37,91,100,17.98
95,Bandar,ID,2022-04-13 18:08:27,2.05,99.75,74.48,97,100,2.21
96,Kruisfontein,ZA,2022-04-13 18:09:02,-34.0033,24.7314,61.88,81,9,8.86
97,Merauke,ID,2022-04-13 18:09:02,-8.4667,140.3333,79.23,88,100,6.55
98,Saskylakh,RU,2022-04-13 18:05:21,71.9167,114.0833,-2.27,99,99,5.68
99,Fairview,US,2022-04-13 18:09:03,40.8126,-73.999,77.77,61,0,14.97
100,Korla,CN,2022-04-13 18:09:03,41.7597,86.1469,59.25,34,86,7.7
101,Sergeyevka,KZ,2022-04-13 18:09:04,53.88,67.4158,50.4,51,34,10.94
102,Cabo San Lucas,MX,2022-04-13 18:04:19,22.8909,-109.9124,86.61,57,0,11.5
103,Faanui,PF,2022-04-13 18:05:47,-16.4833,-151.75,81.63,73,17,14.27
104,Praia Da Vitoria,PT,2022-04-13 18:09:04,38.7333,-27.0667,62.76,92,80,22.44
105,Tuatapere,NZ,2022-04-13 18:06:21,-46.1333,167.6833,43.72,88,78,4.07
106,Lompoc,US,2022-04-13 18:09:05,34.6391,-120.4579,70.02,30,0,17.27
107,Kurilsk,RU,2022-04-13 18:09:05,45.2333,147.8833,29.97,85,100,12.15
108,Ostrovnoy,RU,2022-04-13 18:09:05,68.0531,39.5131,18.72,92,100,4.68
109,Priupskiy,RU,2022-04-13 18:09:06,53.9096,37.736,42.04,87,100,16.42
110,Makakilo City,US,2022-04-13 18:09:06,21.3469,-158.0858,75.61,68,0,11.5
111,Bambanglipuro,ID,2022-04-13 18:07:33,-7.95,110.2833,76.86,84,21,2.53
112,Katsuura,JP,2022-04-13 18:09:07,35.1333,140.3,59.16,95,68,17.76
113,Ternate,ID,2022-04-13 18:09:07,0.8,127.4,80.83,79,98,0.76
114,Palestina,PS,2022-04-13 18:09:08,31.9216,35.2033,53.35,76,88,5.35
115,Hovd,MN,2022-04-13 18:09:08,48.0056,91.6419,23.92,47,100,5.82
116,Bakchar,RU,2022-04-13 18:09:09,57.0186,82.0711,33.78,93,69,2.68
117,Kondoa,TZ,2022-04-13 18:09:09,-4.9,35.7833,63.61,85,32,3.89
118,Souillac,MU,2022-04-13 18:09:09,-20.5167,57.5167,77.13,85,77,20.24
119,Wenceslau Braz,BR,2022-04-13 18:09:10,-23.8739,-49.8028,70.38,82,100,6.55
120,Touros,BR,2022-04-13 18:09:10,-5.1989,-35.4608,84.97,63,8,10.6
121,Phan Thiet,VN,2022-04-13 18:08:54,10.9333,108.1,79.03,87,100,5.53
122,Cockburn Town,TC,2022-04-13 18:09:11,21.4612,-71.1419,76.69,80,13,23.69
123,At-Bashi,KG,2022-04-13 18:09:11,41.1702,75.8106,50.32,52,100,2.91
124,Asau,RO,2022-04-13 18:09:11,46.4333,26.4,52.72,61,53,6.06
125,Elk City,US,2022-04-13 18:05:35,35.412,-99.4043,55.62,28,0,17.27
126,Merke,KZ,2022-04-13 18:09:12,42.8728,73.1786,57.69,79,52,5.79
127,Chapais,CA,2022-04-13 18:09:12,49.7834,-74.8492,41.31,58,74,4.7
128,Krasnoselkup,RU,2022-04-13 18:09:13,65.7,82.4667,33.51,99,100,13.47
129,Karapyshi,UA,2022-04-13 18:09:13,49.6424,30.79,41.27,90,100,16.84
130,Mnogovershinnyy,RU,2022-04-13 18:09:13,53.9353,139.9242,8.17,97,94,3.29
131,Corrente,BR,2022-04-13 18:07:08,-3.7367,-43.3394,84.67,69,100,4.38
132,Abha,SA,2022-04-13 18:09:14,18.2164,42.5053,68.25,28,0,4.61
133,Aklavik,CA,2022-04-13 18:09:14,68.2191,-135.0107,9.46,76,100,16.11
134,Mumford,GH,2022-04-13 18:09:14,5.2618,-0.759,81.16,80,92,16.69
135,Bobcaygeon,CA,2022-04-13 18:10:15,44.5462,-78.542,65.88,74,97,4.43
136,Barrow,US,2022-04-13 18:06:08,71.2906,-156.7887,-5.78,77,0,6.91
137,Hualmay,PE,2022-04-13 18:10:15,-11.0964,-77.6139,71.91,70,32,11.77
138,Ambon,ID,2022-04-13 18:10:16,-3.6954,128.1814,80.56,77,97,3.44
139,Bandarbeyla,SO,2022-04-13 18:10:16,9.4942,50.8122,81.75,77,0,8.55
140,Srednekolymsk,RU,2022-04-13 18:10:16,67.45,153.6833,-22.22,100,94,3.96
141,Carnarvon,AU,2022-04-13 18:10:17,-24.8667,113.6333,75.24,48,0,20.51
142,Vanavara,RU,2022-04-13 18:10:17,60.34,102.2797,31.98,90,100,15.12
143,Chunskiy,RU,2022-04-13 18:10:18,56.0815,99.6342,24.75,96,71,1.92
144,Lopukhiv,UA,2022-04-13 18:10:18,48.3653,23.9638,33.89,89,13,4.85
145,Yangambi,CD,2022-04-13 18:10:18,0.8102,24.4336,75.31,83,88,1.39
146,Chokurdakh,RU,2022-04-13 18:06:09,70.6333,147.9167,-19.55,100,78,3.78
147,Haines Junction,CA,2022-04-13 18:10:19,60.7522,-137.5108,19.78,68,11,1.54
148,Benton Harbor,US,2022-04-13 18:10:19,42.1167,-86.4542,66.33,94,100,10.36
149,Lasa,IT,2022-04-13 18:10:20,46.6166,10.7002,56.7,90,99,2.46
150,Maniitsoq,GL,2022-04-13 18:10:20,65.4167,-52.9,27.01,78,22,17.05
151,Polyarnyy,RU,2022-04-13 18:10:20,69.1989,33.4478,24.01,83,89,3.8
152,Castro,BR,2022-04-13 18:05:48,-24.7911,-50.0119,69.15,88,100,5.12
153,Zavoi,RO,2022-04-13 18:10:21,45.5167,22.4167,43.95,62,2,5.03
154,Basco,PH,2022-04-13 18:10:21,20.4487,121.9702,77.95,78,80,4.54
155,Alice Springs,AU,2022-04-13 18:07:34,-23.7,133.8833,69.22,32,0,8.05
156,Yumen,CN,2022-04-13 18:10:22,40.2833,97.2,46.08,11,95,9.91
157,Port Pirie,AU,2022-04-13 18:10:22,-33.1833,138.0167,62.69,36,82,5.91
158,Lethbridge,CA,2022-04-13 18:10:22,49.7,-112.8186,18.64,58,100,12.82
159,Buin,CL,2022-04-13 18:10:23,-33.7333,-70.75,80.64,11,0,5.14
160,Bambous Virieux,MU,2022-04-13 18:10:23,-20.3428,57.7575,79.21,83,56,21.56
161,Ghanzi,BW,2022-04-13 18:10:23,-21.5667,21.7833,76.77,34,84,2.33
162,Qena,EG,2022-04-13 18:10:24,26.1615,32.7183,79.16,13,40,13.49
163,Butaritari,KI,2022-04-13 18:10:24,3.0707,172.7902,81.32,77,27,16.73
164,Abu Samrah,SY,2022-04-13 18:10:24,35.3029,37.1841,56.46,40,3,2.93
165,Lagos,NG,2022-04-13 18:07:24,6.5833,3.75,79.99,81,93,6.44
166,Arlit,NE,2022-04-13 18:10:25,18.7369,7.3853,95.25,7,100,6.15
167,Mildura,AU,2022-04-13 18:10:25,-34.2,142.15,51.76,66,0,6.91
168,Lyambir,RU,2022-04-13 18:10:26,54.2817,45.1249,48.06,87,66,7.7
169,La Ronge,CA,2022-04-13 18:10:26,55.1001,-105.2842,16.02,67,100,12.66
170,Sobolevo,RU,2022-04-13 18:10:26,54.4299,31.8996,37.53,85,77,8.66
171,Grimshaw,CA,2022-04-13 18:10:27,56.1834,-117.6027,17.08,51,94,6.13
172,Codrington,AU,2022-04-13 18:10:27,-38.2667,141.9667,53.08,88,48,6.93
173,Qaanaaq,GL,2022-04-13 18:10:27,77.484,-69.3632,2.12,92,100,6.96
174,Izumo,JP,2022-04-13 18:09:15,35.3667,132.7667,55.71,92,100,11.03
175,Narsaq,GL,2022-04-13 18:10:28,60.9167,-46.05,52.02,52,100,11.59
176,Ossora,RU,2022-04-13 18:07:49,59.2353,163.0719,20.07,95,100,6.85
177,Saint-Philippe,RE,2022-04-13 18:10:28,-21.3585,55.7679,74.79,88,91,17.34
178,Ponta Do Sol,PT,2022-04-13 18:10:28,32.6667,-17.1,67.71,80,90,0.74
179,Maragogi,BR,2022-04-13 18:10:29,-9.0122,-35.2225,83.05,71,82,9.46
180,Plouzane,FR,2022-04-13 18:10:29,48.3833,-4.6167,61.12,72,20,8.05
181,Hambantota,LK,2022-04-13 18:10:29,6.1241,81.1185,80.31,82,57,12.41
182,Necochea,AR,2022-04-13 18:10:30,-38.5473,-58.7368,63.81,50,1,16.84
183,Tuktoyaktuk,CA,2022-04-13 18:10:19,69.4541,-133.0374,-2.88,89,69,11.83
184,Okha,RU,2022-04-13 18:11:30,53.5739,142.9478,13.23,95,60,8.46
185,Muros,ES,2022-04-13 18:11:31,42.7762,-9.0603,62.69,74,10,11.81
186,Dikson,RU,2022-04-13 18:06:42,73.5069,80.5464,27.32,96,100,12.97
187,Iqaluit,CA,2022-04-13 18:11:31,63.7506,-68.5145,2.7,71,6,20.0
188,Mamallapuram,IN,2022-04-13 18:11:32,12.6264,80.1722,86.05,76,54,7.25
189,Bredasdorp,ZA,2022-04-13 18:10:16,-34.5322,20.0403,64.4,88,100,8.28
190,Lavrentiya,RU,2022-04-13 18:11:32,65.5833,-171.0,15.06,91,74,10.13
191,Dongning,CN,2022-04-13 18:11:33,44.0622,131.1207,37.27,58,5,1.23
192,Arraial Do Cabo,BR,2022-04-13 18:11:33,-22.9661,-42.0278,84.06,74,0,12.66
193,Constitucion,CL,2022-04-13 18:11:33,-35.3333,-72.4167,64.58,46,2,13.38
194,Qasigiannguit,GL,2022-04-13 18:11:34,68.8193,-51.1922,21.45,90,100,6.38
195,Sao Joao Da Barra,BR,2022-04-13 18:11:34,-21.6403,-41.0511,87.89,75,19,10.98
196,Hithadhoo,MV,2022-04-13 18:10:16,-0.6,73.0833,83.93,72,55,12.41
197,Kaitangata,NZ,2022-04-13 18:10:49,-46.2817,169.8464,42.19,93,47,5.91
198,Talnakh,RU,2022-04-13 18:11:35,69.4865,88.3972,29.21,95,100,10.56
199,Phrae,TH,2022-04-13 18:11:35,18.0833,100.0,83.05,43,0,1.99
200,Yerbogachen,RU,2022-04-13 18:11:35,61.2767,108.0108,30.02,95,100,16.69
201,Chifeng,CN,2022-04-13 18:11:36,42.2683,118.9636,43.68,43,2,6.58
202,Lebu,CL,2022-04-13 18:11:36,-37.6167,-73.65,57.02,68,2,20.4
203,Cape Town,ZA,2022-04-13 18:10:09,-33.9258,18.4232,68.11,87,100,14.0
204,Portland,US,2022-04-13 18:06:42,45.5234,-122.6762,43.75,89,100,9.22
205,Roma,US,2022-04-13 18:10:04,43.2128,-75.4557,72.82,45,75,12.66
206,Caohai,CN,2022-04-13 18:11:37,26.8661,104.2841,52.66,97,40,3.42
207,Weiden,DE,2022-04-13 18:11:37,49.6775,12.1567,61.02,51,0,3.44
208,Kutum,SD,2022-04-13 18:11:38,14.2,24.6667,80.06,11,2,8.72
209,Labuhan,ID,2022-04-13 18:11:38,-6.8844,112.2051,78.62,82,32,4.72
210,Kirakira,SB,2022-04-13 18:11:38,-10.4544,161.9205,78.57,83,76,6.15
211,Belmonte,BR,2022-04-13 18:11:39,-15.8631,-38.8828,83.14,68,56,8.61
212,Grand Haven,US,2022-04-13 18:11:39,43.0631,-86.2284,65.43,95,100,14.97
213,Balabac,PH,2022-04-13 18:11:40,7.9868,117.0645,79.09,79,73,9.19
214,Roebourne,AU,2022-04-13 18:11:40,-20.7833,117.1333,80.1,48,49,6.89
215,Puerto Escondido,MX,2022-04-13 18:10:38,15.85,-97.0667,85.03,74,0,8.05
216,Saint-Francois,FR,2022-04-13 18:11:40,46.4154,3.9054,62.04,67,0,5.75
217,Keskin,TR,2022-04-13 18:11:41,39.6731,33.6136,37.2,51,73,4.0
218,Tasiilaq,GL,2022-04-13 18:11:41,65.6145,-37.6368,32.16,68,100,5.68
219,Antigonish,CA,2022-04-13 18:07:56,45.6169,-61.9986,44.15,86,100,10.83
220,Barabinsk,RU,2022-04-13 18:11:42,55.3571,78.357,38.62,89,15,10.25
221,Berlevag,NO,2022-04-13 18:11:34,70.8578,29.0864,26.55,68,0,5.75
222,Maracas,BR,2022-04-13 18:11:42,-13.4411,-40.4308,81.09,47,71,4.25
223,Upington,ZA,2022-04-13 18:11:42,-28.4478,21.2561,66.58,52,0,5.75
224,Ancud,CL,2022-04-13 18:11:43,-41.8697,-73.8203,63.23,69,35,5.41
225,Namatanai,PG,2022-04-13 18:11:43,-3.6667,152.4333,79.16,80,44,6.6
226,Oussouye,SN,2022-04-13 18:11:44,12.485,-16.5469,79.45,49,52,13.44
227,Motygino,RU,2022-04-13 18:11:44,58.1831,94.7592,23.9,95,86,3.29
228,Mahebourg,MU,2022-04-13 18:12:45,-20.4081,57.7,79.25,88,75,18.41
229,Husavik,IS,2022-04-13 18:12:45,66.0449,-17.3389,39.0,84,41,8.88
230,El Rosario,MX,2022-04-13 18:12:45,24.2556,-107.1828,90.79,22,97,8.28
231,Port Blair,IN,2022-04-13 18:11:58,11.6667,92.75,81.95,72,14,5.23
232,Fortuna,US,2022-04-13 18:12:46,40.5982,-124.1573,50.92,78,75,11.5
233,Los Llanos De Aridane,ES,2022-04-13 18:12:46,28.6585,-17.9182,62.35,91,40,18.41
234,Victoria,HK,2022-04-13 18:09:07,22.2855,114.1577,78.33,85,69,4.0
235,Mount Isa,AU,2022-04-13 18:12:47,-20.7333,139.5,76.77,36,5,5.75
236,Wattegama,LK,2022-04-13 18:12:47,6.7989,81.4808,75.34,90,94,3.56
237,Hami,CN,2022-04-13 18:12:47,42.8,93.45,54.1,11,77,8.32
238,Okahandja,NA,2022-04-13 18:12:48,-21.9833,16.9167,72.84,39,81,9.01
239,Broome,US,2022-04-13 18:12:48,42.2506,-75.833,76.19,54,40,16.11
240,Buala,SB,2022-04-13 18:12:49,-8.145,159.5921,79.27,79,26,6.76
