City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Korla,CN,69.48,broken clouds,41.7597,86.1469,Gulisitan Hotel
402,Kununurra,AU,66.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
405,Alice Springs,AU,69.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
406,Casa Grande,US,75.97,clear sky,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
407,Rengasdengklok,ID,85.05,overcast clouds,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
408,Port Lincoln,AU,61.59,clear sky,-34.7333,135.8667,Port Lincoln Hotel
410,Hamilton,US,83.5,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
412,Pedernales,DO,79.77,overcast clouds,18.0384,-71.744,Hotel Costa Marina
413,Naze,JP,71.51,moderate rain,28.3667,129.4833,Shishime Hotel
418,Xuchang,CN,64.8,broken clouds,34.0167,113.8167,Super 8 Hotel
420,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
421,Tezu,IN,69.17,light rain,27.9167,96.1667,Circuit House
422,Faya,SA,63.93,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
424,Alugan,PH,79.61,overcast clouds,12.2188,125.4808,JM Lodge
425,Rodrigues Alves,BR,88.09,broken clouds,-7.738,-72.6509,Pousada Aconchego
426,Miraflores,MX,73.02,clear sky,19.2167,-98.8083,Hotel Mansión
427,Lompoc,US,72.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
428,Namibe,AO,71.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
430,Pemba,MZ,78.26,moderate rain,-12.974,40.5178,Guesthouse Samotina
432,Cartaxo,PT,64.36,scattered clouds,39.1602,-8.7874,Chão de Ourique
433,Shashi,CN,68.74,clear sky,30.3072,112.2447,Xingyu Hotel
435,Luanda,AO,77.77,light rain,-8.8368,13.2343,EPIC SANA Luanda
437,Sawtell,AU,60.82,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
440,Goya,AR,72.36,clear sky,-29.14,-59.2626,Apart Costanera Goya
441,Veraval,IN,83.98,clear sky,20.9,70.3667,Lords Inn Somnath
442,Luohe,CN,64.35,broken clouds,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
443,Mahibadhoo,MV,84.87,overcast clouds,3.7833,72.9667,Omadhoo Inn
445,Kirando,TZ,74.98,light rain,-7.4167,30.6,Lakeshore Lodge
446,Cordoba,AR,84.76,clear sky,-31.4135,-64.1811,Hotel Sussex
448,Muli,MV,85.01,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
453,Saint Anthony,US,70.14,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
454,Orcopampa,PE,61.88,few clouds,-15.2661,-72.3417,Happy Wasi
457,Labuhan,ID,79.3,overcast clouds,-6.8844,112.2051,DoubleFAG
458,Quelimane,MZ,73.35,broken clouds,-17.8786,36.8883,Hotel Flamingo
459,Gat,IL,74.39,few clouds,31.61,34.7642,OlusHome
461,Shingu,JP,61.95,overcast clouds,33.7333,135.9833,Shingu UI Hotel
463,Snyder,US,83.08,scattered clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
465,Joliet,US,79.2,clear sky,41.525,-88.0817,Red Roof Inn Chicago - Joliet
466,Marchena,ES,61.02,broken clouds,37.329,-5.4168,GMhotel
467,Hillsborough,US,66.11,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
469,Kananga,CD,71.92,moderate rain,-5.8958,22.4178,Guest House Wood Land
472,Samarai,PG,81.73,broken clouds,-10.6167,150.6667,Nuli Sapi
474,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
476,Dourados,BR,84.29,overcast clouds,-22.2211,-54.8056,Alphonsus Hotel
480,Zhumadian,CN,64.98,scattered clouds,32.9794,114.0294,Ouyue House Hotel
481,Byron Bay,AU,61.95,overcast clouds,-28.65,153.6167,Backpackers Inn
482,Mahanoro,MG,74.57,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
483,Pemangkat,ID,80.74,overcast clouds,1.1667,108.9667,Ramah Kost KITA
484,Hualmay,PE,72.46,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
485,Itanhaem,BR,85.3,broken clouds,-24.1831,-46.7889,Prainha Residência Artística
487,Forest,US,81.48,clear sky,37.3638,-79.2897,Days inn
488,Cuamba,MZ,69.04,broken clouds,-14.8031,36.5372,Hotel Vision
489,Sur,OM,86.79,few clouds,22.5667,59.5289,Sur Plaza Hotel
493,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
501,Luau,AO,66.65,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
504,Alofi,NU,78.67,light rain,-19.0595,-169.9187,Taloa Heights
505,Lithakia,GR,63.68,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
506,Shirgaon,IN,85.39,scattered clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
507,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
508,Chicama,PE,76.87,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
509,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
510,Richards Bay,ZA,69.15,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
512,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
515,Rangapara,IN,71.46,clear sky,26.8167,92.65,Bidhan
517,Tamandare,BR,83.52,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
518,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
519,Acapulco,MX,87.66,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
522,Kavieng,PG,82.04,broken clouds,-2.5744,150.7967,Nusa Island Retreat
524,Kiama,AU,61.0,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
525,Orkney,ZA,66.78,overcast clouds,-26.9802,26.6727,Hole in One Guest House Orkney
529,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
530,Porbandar,IN,83.23,clear sky,21.6422,69.6093,Lords Inn Porbandar
531,Touros,BR,79.52,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
533,Hervey Bay,AU,68.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
534,Qeshm,IR,80.47,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
535,San-Pedro,CI,82.33,broken clouds,4.7485,-6.6363,Hotel Maria
536,Corrientes,AR,75.97,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
537,Sorong,ID,79.68,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
538,Mazagao,BR,76.46,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
542,Dekernes,EG,61.12,few clouds,31.0876,31.595,زكريا عبد الفتاح سليم
543,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
545,Lufilufi,WS,81.46,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
546,Vaitape,PF,80.44,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
547,Bowling Green,US,82.33,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
549,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
556,Cabimas,VE,77.59,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
557,Belmonte,BR,83.64,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
558,Indianola,US,75.69,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
562,Ambilobe,MG,75.06,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
563,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
565,Tandil,AR,71.69,scattered clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
566,Maragogi,BR,83.35,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
567,Poso,ID,77.92,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
569,Newala,TZ,67.87,light rain,-10.9431,39.2787,Mnyeu Newala
570,San Antero,CO,85.05,scattered clouds,9.3741,-75.7589,Villamarina Inn chale
571,Pueblo,US,66.15,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
573,Mahwa,IN,89.85,scattered clouds,27.0471,76.9288,Hotel Sagar Sangam - By Pt. Pandit Ji
574,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
575,Pingshan,CN,74.5,light rain,22.9938,114.7131,Island Skylight Resort
576,Oriximina,BR,84.45,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
579,Sambava,MG,76.57,light rain,-14.2667,50.1667,Melrose
581,Sahuaripa,MX,86.22,clear sky,29.05,-109.2333,Estatua de Sahuaripa
582,Kencong,ID,76.98,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
585,Antofagasta,CL,72.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
587,Saint Austell,GB,61.09,few clouds,50.3383,-4.7658,The Cornwall Hotel & Spa
590,Dillon,US,82.94,clear sky,34.4166,-79.3712,Dillon Express Inn
593,Birjand,IR,66.67,light intensity shower rain,32.8663,59.2211,Birjand Tourist Hotel
594,Samaro,PK,87.31,broken clouds,25.2815,69.3965,M AFZAL GOURNAL STOR SAMARO
595,Gawler,AU,68.16,scattered clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
597,Primo Tapia,MX,70.88,clear sky,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
598,Sarab,IR,65.68,clear sky,38.6066,44.9883,مسجد امام رضا
599,Chongwe,ZM,67.33,overcast clouds,-15.3292,28.682,Grakas Lodge
601,Kimbe,PG,74.61,light rain,-5.5502,150.1429,Kimbe Bay Hotel
602,Brigantine,US,64.2,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
606,Waling,NP,73.06,clear sky,27.9833,83.7667,Venus Hotel
608,Qui Nhon,VN,77.72,clear sky,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
609,Salvador,SV,86.05,clear sky,13.8333,-88.9167,Chico's Ranch
610,Shitanjing,CN,60.46,overcast clouds,39.2342,106.3439,Yingbin Hotel
611,Necochea,AR,69.76,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
612,Colimes,EC,83.34,light rain,-1.55,-80.0167,"Casa de Retiro ""JESÚS DE LA DIVINA MISERICORDIA"""
618,Lamu,KE,82.6,scattered clouds,-2.2717,40.902,Lamu House
622,Rancho Palos Verdes,US,72.0,clear sky,33.7445,-118.387,Terranea Resort
623,Seydi,TM,77.32,overcast clouds,39.4816,62.9137,Seydi oteli
626,Quattro Castella,IT,61.88,broken clouds,44.635,10.4743,Ristorante Albergo La Maddalena
627,Shache,CN,68.29,few clouds,38.4167,77.2406,Delong Hotel
628,San Jeronimo,PE,64.04,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
630,Akyab,MM,83.1,clear sky,20.15,92.9,Hotel Memory
635,Rocha,UY,70.72,clear sky,-34.4833,-54.3333,Hotel Arrarte
636,Pinheiro,BR,74.86,overcast clouds,-2.5214,-45.0825,Solares Hotel
637,Katobu,ID,75.16,overcast clouds,-4.9408,122.5276,La Ode Husein
638,Antalaha,MG,74.59,light rain,-14.9003,50.2788,Hotel Vitasoa
639,Miandrivazo,MG,74.35,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
640,Lorengau,PG,80.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
644,Bagotville,AU,61.86,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
645,Bumba,CD,78.08,light rain,2.1833,22.4667,Père Carlos
646,Jiwani,PK,81.68,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
647,Bitritto,IT,64.9,clear sky,41.0445,16.8252,B&B La Dimora del Re
648,Prabumulih,ID,73.71,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
651,Sao Gabriel Da Cachoeira,BR,87.64,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
652,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
653,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
654,Yangshe,CN,64.0,broken clouds,31.8899,120.6052,Jindongmen Hotel
655,Saryagash,KZ,71.24,overcast clouds,41.4511,69.1701,fatyCentre Paradise
657,Valenca Do Piaui,BR,85.5,broken clouds,-6.4075,-41.7456,GN Hotel
658,Albertville,US,81.46,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
659,Vacaria,BR,63.82,scattered clouds,-28.5122,-50.9339,Pampa Hotel
660,Broken Hill,AU,63.7,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
663,Fatehpur,IN,89.92,clear sky,25.9333,80.8,Hotel Bombay Lodge
665,Acarau,BR,75.22,moderate rain,-2.8856,-40.12,castelo pizzaria
668,Tiarei,PF,82.42,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
674,Two Rivers,US,71.38,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
677,Prieska,ZA,60.87,light rain,-29.6641,22.7474,Avenue GuestHouse
678,Banda Aceh,ID,81.39,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
679,Iquique,CL,69.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
680,Yerkoy,TR,65.5,scattered clouds,39.6381,34.4672,Yerköy Öğretmenevi
681,Barkhan,PK,75.99,scattered clouds,29.8977,69.5256,Sardar
682,Mansa,IN,85.8,scattered clouds,29.9833,75.3833,STARiHOTEL Mansa
