City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Cockburn Town,TC,21.4612,-71.1419,80.56,61,40,17.27,scattered clouds
153,Flinders,AU,-34.5833,150.8552,57.18,90,14,3.0,few clouds
154,Yellowknife,CA,62.456,-114.3525,19.92,63,0,6.91,clear sky
155,Wagga Wagga,AU,-35.1167,147.3667,56.61,93,1,4.61,clear sky
156,Viedma,AR,-40.8135,-62.9967,66.33,21,14,25.17,few clouds
157,Mathbaria,BD,22.2876,89.9593,80.76,88,20,11.72,few clouds
158,Negombo,LK,7.2083,79.8358,78.85,94,20,4.61,few clouds
159,Airai,TL,-8.9266,125.4092,58.93,70,21,2.15,few clouds
160,Nikolskoye,RU,59.7035,30.7861,44.87,76,100,10.11,overcast clouds
161,Karratha,AU,-20.7377,116.8463,80.29,46,5,6.33,light rain
162,Torbay,CA,47.6666,-52.7314,41.29,82,100,14.97,overcast clouds
163,Cape Town,ZA,-33.9258,18.4232,59.41,63,0,18.41,clear sky
164,Port Macquarie,AU,-31.4333,152.9167,58.89,94,40,3.44,scattered clouds
165,Erzurum,TR,40.0,41.5,55.08,47,0,3.02,clear sky
166,College,US,64.8569,-147.8028,40.98,57,0,5.75,clear sky
167,Kahului,US,20.8947,-156.47,76.84,84,97,8.01,overcast clouds
168,Sitka,US,57.0531,-135.33,41.32,94,100,5.57,light rain
169,Nome,US,64.5011,-165.4064,36.16,76,100,3.15,overcast clouds
170,Kiomboi,TZ,-4.2667,34.3667,62.89,89,98,4.61,light rain
171,Victoria,HK,22.2855,114.1577,78.96,89,9,4.0,clear sky
172,Zlitan,LY,32.4674,14.5687,65.12,60,0,12.75,clear sky
173,Barcelos,PT,41.5388,-8.6151,59.85,68,12,8.52,few clouds
174,Norman Wells,CA,65.282,-126.8329,28.44,54,0,11.5,clear sky
175,Dingle,PH,10.9995,122.6711,76.82,87,52,6.11,broken clouds
176,Inhambane,MZ,-23.865,35.3833,75.18,88,20,0.0,few clouds
177,Puerto Lleras,CO,3.0223,-73.4044,84.51,68,80,4.41,broken clouds
178,Camacha,PT,33.0833,-16.3333,62.02,55,40,9.22,scattered clouds
179,San Carlos,VE,9.6612,-68.5827,95.38,35,54,2.21,broken clouds
180,Saravan,AM,39.7196,45.6483,50.29,57,1,7.43,clear sky
181,Lasa,IT,46.6166,10.7002,52.68,98,97,6.8,overcast clouds
182,Klaksvik,FO,62.2266,-6.589,47.32,81,100,19.89,overcast clouds
183,Perevolotskiy,RU,51.8763,54.1938,42.12,81,97,12.12,overcast clouds
184,Grindavik,IS,63.8424,-22.4338,46.87,71,75,2.3,broken clouds
185,Hofn,IS,64.2539,-15.2082,44.92,83,1,6.2,clear sky
186,Sioux Lookout,CA,50.1001,-91.917,35.67,93,100,10.36,overcast clouds
187,Radviliskis,LT,55.8167,23.5333,46.45,100,100,5.75,moderate rain
188,Maracacume,BR,-2.0428,-45.9592,75.04,96,100,0.67,overcast clouds
189,Salalah,OM,17.0151,54.0924,82.09,77,19,6.82,few clouds
190,Carauari,BR,-4.8828,-66.8958,76.98,92,100,1.77,overcast clouds
191,Portland,US,45.5234,-122.6762,58.28,77,11,3.0,few clouds
192,Provideniya,RU,64.3833,-173.3,25.14,68,15,3.22,few clouds
193,Port Hardy,CA,50.6996,-127.4199,46.58,81,100,10.36,overcast clouds
194,Pizarro,CO,4.9533,-77.366,81.57,73,38,7.29,scattered clouds
195,Ahipara,NZ,-35.1667,173.1667,62.76,69,34,14.65,scattered clouds
196,Ulaanbaatar,MN,47.9077,106.8832,24.93,63,0,2.24,clear sky
197,Victor Harbor,AU,-35.5667,138.6167,58.68,83,40,10.0,scattered clouds
198,Yerofey Pavlovich,RU,53.9667,121.9667,23.74,59,0,3.29,clear sky
199,Aksarka,RU,66.5606,67.7975,-6.72,100,56,2.01,broken clouds
200,Palana,RU,59.1167,159.9667,18.03,87,99,6.33,overcast clouds
201,La Ronge,CA,55.1001,-105.2842,44.85,49,0,5.75,clear sky
202,Berga,NO,60.392,5.328,57.61,44,20,9.22,few clouds
203,Anchorage,US,61.2181,-149.9003,45.63,77,75,3.44,broken clouds
204,Fomboni,KM,-12.28,43.7425,81.27,78,100,11.61,overcast clouds
205,Zabid,YE,14.1951,43.3152,90.21,39,69,3.22,broken clouds
206,Kupang,ID,-10.1667,123.5833,76.78,83,38,5.95,scattered clouds
207,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,100,0.0,overcast clouds
208,Biograd Na Moru,HR,43.9433,15.4519,62.76,81,9,10.25,clear sky
209,Tilichiki,RU,60.4667,166.1,13.64,95,100,7.94,overcast clouds
210,Marsh Harbour,BS,26.5412,-77.0636,74.52,66,27,19.93,scattered clouds
211,Batagay-Alyta,RU,67.8006,130.4114,2.5,97,100,4.43,overcast clouds
212,Sassandra,CI,4.95,-6.0833,82.15,79,89,7.29,overcast clouds
213,Zhenlai,CN,45.8495,123.2973,43.3,52,28,6.51,scattered clouds
214,Seoul,KR,37.5683,126.9778,56.77,70,20,3.44,mist
215,Brae,GB,60.3964,-1.353,46.83,85,94,15.61,overcast clouds
216,Bulgan,MN,48.8125,103.5347,35.26,46,69,3.27,broken clouds
217,Calvinia,ZA,-31.4707,19.776,59.22,43,0,8.46,clear sky
218,Fortuna,US,40.5982,-124.1573,53.85,95,100,0.0,overcast clouds
219,Ruwi,OM,23.5996,58.5507,87.3,38,49,5.64,scattered clouds
220,Cao Bang,VN,22.6667,106.25,72.57,99,16,2.86,few clouds
221,Yamada,JP,39.4667,141.95,44.1,66,48,3.71,scattered clouds
222,Carnarvon,AU,-24.8667,113.6333,69.87,88,0,5.75,clear sky
223,Vanavara,RU,60.34,102.2797,21.92,94,20,2.82,few clouds
224,Yulara,AU,-25.2406,130.9889,64.24,42,87,8.05,overcast clouds
225,Matagami,CA,49.7502,-77.6328,39.31,24,0,6.91,clear sky
226,Salinopolis,BR,-0.6136,-47.3561,74.84,93,100,7.34,heavy intensity rain
227,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,100,3.44,overcast clouds
228,Kieta,PG,-6.2167,155.6333,80.01,80,100,3.18,overcast clouds
229,Mahebourg,MU,-20.4081,57.7,75.49,78,75,17.27,broken clouds
230,Haverfordwest,GB,51.8017,-4.9691,59.25,64,54,5.01,broken clouds
231,Bud,US,39.447,-86.1758,81.99,44,99,16.8,overcast clouds
232,Griffith,US,41.5284,-87.4237,78.4,61,0,19.57,clear sky
233,Sakakah,SA,29.9697,40.2064,69.37,60,58,19.77,light rain
234,Thanh Hoa,VN,19.8,105.7667,75.51,95,46,4.23,scattered clouds
235,Hami,CN,42.8,93.45,67.01,23,7,10.09,clear sky
236,Dobryanka,RU,58.4619,56.4165,30.15,91,23,2.64,few clouds
237,Severo-Kurilsk,RU,50.6789,156.125,35.35,98,100,10.98,overcast clouds
238,Vardo,NO,70.3705,31.1107,37.99,91,100,18.03,overcast clouds
239,Valentin Gomez Farias,MX,28.2167,-106.5833,82.33,7,3,19.17,clear sky
240,Oktyabrsk,KZ,49.4744,57.4233,44.6,83,100,10.78,overcast clouds
241,Paraopeba,BR,-19.2757,-44.4033,87.98,29,47,10.94,scattered clouds
242,Sibuco,PH,7.2911,122.0656,79.11,87,99,2.95,overcast clouds
243,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,5.75,few clouds
244,Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,mist
245,Clyde River,CA,70.4692,-68.5914,-0.17,71,0,0.0,clear sky
246,Bac Lieu,VN,9.285,105.7244,82.49,77,7,8.68,clear sky
247,Bharatpur,IN,27.2167,77.4833,89.13,11,13,6.24,few clouds
248,Mokhsogollokh,RU,61.4681,128.9203,18.72,97,100,2.26,overcast clouds
249,Tungor,RU,53.3808,142.9564,16.88,98,40,4.12,scattered clouds
250,Roald,NO,62.5833,6.1333,56.32,81,0,13.8,clear sky
251,Bethel,US,41.3712,-73.414,65.17,50,49,7.34,scattered clouds
252,Prince Rupert,CA,54.3161,-130.3201,44.29,93,100,35.68,mist
253,Tura,IN,25.5198,90.2201,74.77,79,0,7.7,clear sky
254,Palu,ID,-0.8917,119.8707,77.07,94,99,2.48,overcast clouds
255,Villa Corzo,MX,16.1667,-93.25,93.15,32,3,1.03,clear sky
256,Chokurdakh,RU,70.6333,147.9167,-9.15,100,100,2.35,overcast clouds
257,Sao Filipe,CV,14.8961,-24.4956,75.18,73,4,7.31,clear sky
258,Laguna,US,38.421,-121.4238,67.14,54,0,1.99,clear sky
259,Alenquer,BR,-1.9417,-54.7383,81.88,80,97,1.41,moderate rain
260,Bambanglipuro,ID,-7.95,110.2833,78.01,89,98,2.15,overcast clouds
261,Qandala,SO,11.472,49.8728,86.59,60,56,10.54,broken clouds
262,Charters Towers,AU,-20.1,146.2667,65.82,94,72,11.99,broken clouds
263,Duekoue,CI,6.7472,-7.3496,85.93,59,100,1.57,overcast clouds
264,Lancaster,US,40.2504,-76.2499,61.34,51,94,7.0,overcast clouds
265,Eregli,TR,37.5133,34.0467,66.94,32,4,2.06,clear sky
266,Moose Factory,CA,51.2585,-80.6094,30.2,69,0,18.41,clear sky
267,Moerai,PF,-22.4333,-151.3333,77.63,69,100,22.95,overcast clouds
268,Abalak,RU,58.1286,68.5944,24.8,77,42,1.83,scattered clouds
269,Andros Town,BS,24.7,-77.7667,78.76,63,16,19.64,few clouds
270,Hays,US,30.0502,-98.0336,82.92,62,95,5.99,overcast clouds
271,Fredericton,CA,45.9454,-66.6656,46.36,31,0,13.8,clear sky
272,Ono,JP,34.85,134.9333,62.91,81,100,3.91,moderate rain
273,Colesberg,ZA,-30.72,25.0972,52.47,81,88,4.34,light rain
274,Upernavik,GL,72.7868,-56.1549,12.79,85,100,11.1,overcast clouds
275,Lichuan,CN,30.3,108.85,59.07,92,51,4.68,broken clouds
276,Kavaratti,IN,10.5669,72.642,85.15,71,96,8.05,overcast clouds
277,Nimes,FR,43.8333,4.35,55.15,81,75,5.75,broken clouds
278,San Patricio,US,28.017,-97.5169,86.18,65,94,22.24,overcast clouds
279,Mount Gambier,AU,-37.8333,140.7667,46.31,93,0,5.75,clear sky
280,Yarada,IN,17.65,83.2667,86.32,79,40,6.91,scattered clouds
281,Vinstra,NO,61.5952,9.7523,44.76,78,52,3.11,broken clouds
282,Bogorodskoye,RU,56.55,37.8833,45.09,80,99,4.07,overcast clouds
283,Aksu,CN,41.1231,80.2644,67.03,41,69,4.83,broken clouds
284,Porto Novo,BJ,6.4965,2.6036,85.82,76,83,11.12,broken clouds
285,Novyy Urengoy,RU,66.0833,76.6333,-1.14,100,97,8.28,overcast clouds
286,Sangmelima,CM,2.9333,11.9833,71.49,95,90,2.06,moderate rain
287,Asau,RO,46.4333,26.4,53.96,98,69,4.03,broken clouds
288,Sacramento,US,38.4666,-121.3177,66.33,56,0,3.0,clear sky
289,Dragor,DK,55.5946,12.6664,56.5,72,75,9.22,broken clouds
290,Ugoofaaru,MV,5.6667,73.0,84.74,74,97,9.06,overcast clouds
291,Oranjestad,AW,12.524,-70.027,80.55,74,75,16.11,broken clouds
292,Launceston,AU,-41.45,147.1667,45.16,93,13,6.91,few clouds
293,Zhezkazgan,KZ,47.8043,67.7144,53.24,23,100,20.85,overcast clouds
294,Russell,US,32.3502,-85.1999,81.91,45,0,9.6,clear sky
295,Abu Samrah,SY,35.3029,37.1841,76.59,16,21,9.86,few clouds
296,Kahramanmaras,TR,38.0,37.0,59.94,42,1,4.94,clear sky
297,Gunnedah,AU,-30.9833,150.25,55.22,86,72,5.66,broken clouds
298,Taltal,CL,-25.4,-70.4833,65.39,75,26,5.68,scattered clouds
